PlayerID,FirstName,LastName,Status,TeamID,Team,Position,Jersey,Catches,Shoots,Height,Weight,BirthDate,BirthCity,BirthState,PhotoUrl,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,FantasyAlarmPlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,FanDuelName,DraftKingsName,YahooName,DepthChartPosition,DepthChartOrder,GlobalTeamID,FantasyDraftName,FantasyDraftPlayerID,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated
30000043,James,van Riemsdyk,Active,1,BOS,LW,21,,L,75,208,1989-05-04T00:00:00,Middletown,NJ,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nhl/low-res/0.png,4337ce91-0f24-11e2-8525-18a905767e44,2267,2782,400886,392943,3265,16041,Scrambled,Scrambled,,Scrambled,8797,392943,4241,James van Riemsdyk,James van Riemsdyk,James van Riemsdyk,LW,2,30000001,James van Riemsdyk,392943,8256603,http://cdn.usatsimg.com/api/download/?imageID=19170626,http://cdn.usatsimg.com/api/download/?imageID=19170623,2022-10-03T14:18:21,2022-10-03T14:18:16
30000073,Milan,Lucic,Injured Reserve,1,BOS,LW,17,,L,75,236,1988-06-07T00:00:00,Vancouver,BC,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nhl/low-res/0.png,42eb57bd-0f24-11e2-8525-18a905767e44,2264,2604,400781,398616,2704,15769,Scrambled,Scrambled,2023-10-22T00:00:00,Scrambled,8178,398616,4306,Milan Lucic,Milan Lucic,Milan Lucic,,,30000001,Milan Lucic,398616,8251797,http://cdn.usatsimg.com/api/download/?imageID=19134661,http://cdn.usatsimg.com/api/download/?imageID=19145988,2022-09-28T20:56:55,2022-09-30T15:14:37
30000074,Brad,Marchand,Active,1,BOS,LW,63,,L,69,176,1988-05-11T00:00:00,Halifax,NS,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nhl/low-res/0.png,42eba095-0f24-11e2-8525-18a905767e44,2431,2905,400191,414433,2959,15756,Scrambled,Scrambled,,Scrambled,8763,414433,4351,Brad Marchand,Brad Marchand,Brad Marchand,LW,1,30000001,Brad Marchand,414433,8250370,http://cdn.usatsimg.com/api/download/?imageID=20542724,http://cdn.usatsimg.com/api/download/?imageID=20542725,2023-04-26T16:12:39,2023-04-26T16:12:47
30000218,Jakub,Zboril,Minors,1,BOS,D,,,L,73,201,1997-02-21T00:00:00,Brno,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nhl/low-res/0.png,ef1dbdd6-20dd-4725-8cf0-bb69d4477a4d,,4780,400222,878044,6374,21171,Scrambled,Scrambled,,Scrambled,66598,878044,6755,Jakub Zboril,Jakub Zboril,Jakub Zboril,,,30000001,Jakub Zboril,878044,8250403,http://cdn.usatsimg.com/api/download/?imageID=19133065,http://cdn.usatsimg.com/api/download/?imageID=19165444,2022-09-28T17:46:49,2022-10-02T15:43:50
30000607,David,Pastrnak,Active,1,BOS,RW,88,,R,72,196,1996-05-25T00:00:00,Havirov,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nhl/low-res/0.png,69cc1757-78c5-4461-bde3-2b252854ecb8,4620,4405,400208,831092,6060,20786,Scrambled,Scrambled,,Scrambled,59218,831092,6391,David Pastrnak,David Pastrnak,David Pastrnak,RW,2,30000001,David Pastrnak,831092,8250383,http://cdn.usatsimg.com/api/download/?imageID=19133088,http://cdn.usatsimg.com/api/download/?imageID=19165436,2022-09-28T17:50:26,2022-10-02T15:43:33
30000630,Patrick,Brown,Minors,1,BOS,C,,,R,73,218,1992-05-29T00:00:00,Bloomfield Hills,MI,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nhl/low-res/0.png,7f5694e7-061a-4849-aa30-10b40689e0fd,,4360,400644,825284,6241,17787,Scrambled,Scrambled,,Scrambled,54518,825284,6353,Patrick Brown,Patrick Brown,Patrick Brown,,,30000001,Patrick Brown,825284,8310453,http://cdn.usatsimg.com/api/download/?imageID=17364110,http://cdn.usatsimg.com/api/download/?imageID=17364108,2021-12-15T18:18:06,2021-12-15T18:18:02
30000685,Kevin,Shattenkirk,Active,1,BOS,D,12,,R,72,203,1989-01-29T00:00:00,New Rochelle,NY,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nhl/low-res/0.png,42d58a20-0f24-11e2-8525-18a905767e44,2283,2794,400142,392955,3638,16219,Scrambled,Scrambled,,Scrambled,11365,392955,4253,Kevin Shattenkirk,Kevin Shattenkirk,Kevin Shattenkirk,,,30000001,Kevin Shattenkirk,392955,8257206,http://cdn.usatsimg.com/api/download/?imageID=19165151,http://cdn.usatsimg.com/api/download/?imageID=19165148,2022-10-02T15:19:58,2022-10-02T15:19:47
30000805,Charlie,Coyle,Active,1,BOS,C,13,,R,75,218,1992-03-02T00:00:00,East Weymouth,MA,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nhl/low-res/0.png,f7022a02-6f00-11e2-a3e0-f4ce4684ea4c,3352,3535,401439,550778,3899,17936,Scrambled,Scrambled,,Scrambled,16969,550778,4988,Charlie Coyle,Charlie Coyle,Charlie Coyle,C,1,30000001,Charlie Coyle,550778,8250341,http://cdn.usatsimg.com/api/download/?imageID=19132966,http://cdn.usatsimg.com/api/download/?imageID=19145895,2022-09-28T17:12:40,2022-09-30T14:48:03
30000958,Derek,Forbort,Active,1,BOS,D,28,,L,76,216,1992-03-04T00:00:00,Duluth,MN,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nhl/low-res/0.png,1b04e659-bddb-489d-9f38-b51e14695142,3340,3513,400758,550765,3886,17923,Scrambled,Scrambled,2024-02-26T00:00:00,Scrambled,39264,550765,4975,Derek Forbort,Derek Forbort,Derek Forbort,LD,4,30000001,Derek Forbort,550765,8275605,http://cdn.usatsimg.com/api/download/?imageID=20002496,http://cdn.usatsimg.com/api/download/?imageID=20002495,2023-02-15T16:35:08,2023-02-15T16:35:04
30000995,Pavel,Zacha,Active,1,BOS,C,18,,L,76,207,1997-04-06T00:00:00,Brno,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nhl/low-res/0.png,aafb1b09-91ab-49b6-a1ff-a171a480c5c1,4984,4777,400451,878037,6367,21169,Scrambled,Scrambled,,Scrambled,65970,878037,6748,Pavel Zacha,Pavel Zacha,Pavel Zacha,C,2,30000001,Pavel Zacha,1780643,8305039,http://cdn.usatsimg.com/api/download/?imageID=20002478,http://cdn.usatsimg.com/api/download/?imageID=20002476,2023-02-15T16:34:16,2023-02-15T16:34:12
